dimensao,qtdParticulas,iteracoes,fatorDiversidade,cognitivo_socialFatores,profit
30,25,25,0.1,1.0,38.792531348626206
30,25,25,0.1,1.0,40.51787533017986
30,50,25,0.1,1.0,36.41547811083832
30,50,25,0.1,1.0,40.82988467484883
30,50,25,0.1,1.0,39.70612607179485
30,50,25,0.1,1.0,33.79484561933545
30,50,25,0.1,1.0,38.51702934887623
30,50,25,0.1,1.0,39.42870678245329
30,50,25,0.1,1.0,36.31317533050168
30,50,25,0.1,1.0,36.27325297752771
30,50,25,0.1,1.0,35.68602714548
30,50,25,0.1,1.0,39.58115574343538
30,100,25,0.1,1.0,34.262795126875034
30,100,25,0.1,1.0,35.153780407481
30,100,25,0.1,1.0,41.970251351591756
30,100,25,0.1,1.0,35.74084457453327
30,100,25,0.1,1.0,42.19813986699819
30,100,25,0.1,1.0,39.75641449455157
30,100,25,0.1,1.0,35.991271043361536
30,100,25,0.1,1.0,35.347472065051136
30,100,25,0.1,1.0,34.109258881975535
30,100,25,0.1,1.0,38.123817801862835
40,25,25,0.1,1.0,72.15583580052773
40,25,25,0.1,1.0,63.381859000518055
40,25,25,0.1,1.0,61.40599561790257
40,25,25,0.1,1.0,68.0262477121248
40,25,25,0.1,1.0,58.19157425948657
40,25,25,0.1,1.0,54.66596308142326
40,25,25,0.1,1.0,62.339480649118485
40,25,25,0.1,1.0,49.79318952082321
40,25,25,0.1,1.0,50.15841220139098
40,25,25,0.1,1.0,67.48408087985923
40,50,25,0.1,1.0,57.23560232983503
40,50,25,0.1,1.0,46.80066251095964
40,50,25,0.1,1.0,51.95950795075532
40,50,25,0.1,1.0,60.12176124907681
40,50,25,0.1,1.0,43.39633846431546
40,50,25,0.1,1.0,61.525751794718104
40,50,25,0.1,1.0,57.991387927160304
40,50,25,0.1,1.0,48.90043119160622
40,50,25,0.1,1.0,55.20161686125264
40,50,25,0.1,1.0,64.33759613259146
40,100,25,0.1,1.0,52.23334714706589
40,100,25,0.1,1.0,51.91038287258376
40,100,25,0.1,1.0,48.27806302410765
40,100,25,0.1,1.0,57.879102475613934
40,100,25,0.1,1.0,55.58911441326729
40,100,25,0.1,1.0,51.052420790217624
40,100,25,0.1,1.0,50.089762946515485
40,100,25,0.1,1.0,56.4033870508572
40,100,25,0.1,1.0,45.87027728460577
40,100,25,0.1,1.0,55.03188575192833
50,25,25,0.1,1.0,82.79302142665233
50,25,25,0.1,1.0,75.396331835476
50,25,25,0.1,1.0,87.2463773316477
50,25,25,0.1,1.0,82.88408120822822
50,25,25,0.1,1.0,86.32819669776963
50,25,25,0.1,1.0,85.50826649083275
50,25,25,0.1,1.0,76.36306212347873
50,25,25,0.1,1.0,80.06372698752467
50,25,25,0.1,1.0,71.98936574224285
